Data,Preco_Fechamento,Codigo_Ativo
2025-05-23,2507.830078125,MELI
2025-05-27,2555.169921875,MELI
2025-05-28,2550.7099609375,MELI
2025-05-29,2545.489990234375,MELI
2025-05-30,2563.2900390625,MELI
2025-06-02,2593.43994140625,MELI
2025-06-03,2602.260009765625,MELI
2025-06-04,2573.9599609375,MELI
2025-06-05,2581.739990234375,MELI
2025-06-06,2482.389892578125,MELI
2025-06-09,2448.60009765625,MELI
2025-06-10,2396.43994140625,MELI
2025-06-11,2387.0,MELI
2025-06-12,2368.820068359375,MELI
2025-06-13,2371.97998046875,MELI
2025-06-16,2454.760009765625,MELI
2025-06-17,2389.47998046875,MELI
2025-06-18,2402.75,MELI
2025-06-20,2403.81005859375,MELI
2025-06-23,2452.889892578125,MELI
2025-06-24,2528.949951171875,MELI
2025-06-25,2540.5,MELI
2025-06-26,2560.199951171875,MELI
2025-06-27,2560.050048828125,MELI
2025-06-30,2613.6298828125,MELI
2025-07-01,2501.39990234375,MELI
2025-07-02,2472.050048828125,MELI
2025-07-03,2514.050048828125,MELI
2025-07-07,2501.080078125,MELI
2025-07-08,2476.60009765625,MELI
2025-07-09,2477.080078125,MELI
2025-07-10,2402.10009765625,MELI
2025-07-11,2387.449951171875,MELI
2025-07-14,2380.25,MELI
2025-07-15,2390.0,MELI
2025-07-16,2405.14990234375,MELI
2025-07-17,2351.139892578125,MELI
2025-07-18,2413.570068359375,MELI
2025-07-21,2379.06005859375,MELI
2025-07-22,2384.719970703125,MELI
2025-07-23,2394.429931640625,MELI
2025-07-24,2391.050048828125,MELI
2025-07-25,2362.56005859375,MELI
2025-07-28,2354.110107421875,MELI
2025-07-29,2384.89990234375,MELI
2025-07-30,2381.389892578125,MELI
2025-07-31,2373.889892578125,MELI
2025-08-01,2375.919921875,MELI
2025-08-04,2395.830078125,MELI
2025-08-05,2408.02001953125,MELI
2025-08-06,2317.219970703125,MELI
2025-08-07,2334.820068359375,MELI
2025-08-08,2353.699951171875,MELI
2025-08-11,2292.0400390625,MELI
2025-08-12,2350.830078125,MELI
2025-08-13,2327.300048828125,MELI
2025-08-14,2319.800048828125,MELI
2025-08-15,2392.300048828125,MELI
2025-08-18,2364.010009765625,MELI
2025-08-19,2342.93994140625,MELI
2025-08-20,2335.97998046875,MELI
2025-08-21,2337.43994140625,MELI
2025-08-22,2430.6201171875,MELI
2025-08-25,2407.739990234375,MELI
2025-08-26,2405.530029296875,MELI
2025-08-27,2413.429931640625,MELI
2025-08-28,2472.2900390625,MELI
2025-08-29,2472.909912109375,MELI
2025-09-02,2379.760009765625,MELI
2025-09-03,2373.1201171875,MELI
2025-09-04,2417.800048828125,MELI
2025-09-05,2417.489990234375,MELI
2025-09-08,2346.9599609375,MELI
2025-09-09,2373.010009765625,MELI
2025-09-10,2348.989990234375,MELI
2025-09-11,2338.199951171875,MELI
2025-09-12,2339.360107421875,MELI
2025-09-15,2335.820068359375,MELI
2025-09-16,2390.139892578125,MELI
2025-09-17,2446.320068359375,MELI
2025-09-18,2476.3701171875,MELI
2025-09-19,2452.340087890625,MELI
2025-09-22,2460.659912109375,MELI
2025-09-23,2494.35009765625,MELI
2025-09-24,2510.969970703125,MELI
2025-09-25,2492.25,MELI
2025-09-26,2468.419921875,MELI
2025-09-29,2501.31005859375,MELI
2025-09-30,2336.93994140625,MELI
2025-10-01,2176.909912109375,MELI
2025-10-02,2246.60009765625,MELI
2025-10-03,2172.75,MELI
2025-10-06,2154.219970703125,MELI
2025-10-07,2187.570068359375,MELI
2025-10-08,2179.889892578125,MELI
2025-10-09,2275.0,MELI
2025-10-10,2133.669921875,MELI
2025-10-13,2175.909912109375,MELI
2025-10-14,2157.820068359375,MELI
2025-10-15,2048.35009765625,MELI
2025-10-16,2043.06005859375,MELI
2025-10-17,2024.97998046875,MELI
2025-10-20,2102.110107421875,MELI
2025-10-21,2142.050048828125,MELI
2025-10-22,2095.2099609375,MELI
2025-10-23,2148.320068359375,MELI
2025-10-24,2161.110107421875,MELI
2025-10-27,2282.320068359375,MELI
2025-10-28,2290.139892578125,MELI
2025-10-29,2295.919921875,MELI
2025-10-30,2360.760009765625,MELI
2025-10-31,2327.260009765625,MELI
2025-11-03,2316.39990234375,MELI
2025-11-04,2305.68994140625,MELI
2025-11-05,2301.8798828125,MELI
2025-11-06,2128.330078125,MELI
2025-11-07,2108.60009765625,MELI
2025-11-10,2092.0400390625,MELI
2025-11-11,2099.570068359375,MELI
2025-11-12,2103.909912109375,MELI
2025-11-13,2031.050048828125,MELI
2025-11-14,2048.889892578125,MELI
2025-11-17,2057.719970703125,MELI
2025-11-18,2058.81005859375,MELI
2025-11-19,2077.179931640625,MELI
2025-11-20,1899.75,MELI
2025-11-21,1951.780029296875,MELI
2025-11-24,2008.9200439453125,MELI
2025-11-25,2055.0,MELI
2025-11-26,2033.3199462890625,MELI
2025-11-28,2071.780029296875,MELI
2025-12-01,2064.550048828125,MELI
2025-12-02,2115.909912109375,MELI
2025-12-03,2119.830078125,MELI
2025-12-04,2139.56005859375,MELI
2025-12-05,2066.419921875,MELI
2025-12-08,2088.360107421875,MELI
2025-12-09,2074.47998046875,MELI
2025-12-10,1970.72998046875,MELI
2025-12-11,2019.81005859375,MELI
2025-12-12,2015.8900146484375,MELI
2025-12-15,1966.760009765625,MELI
2025-12-16,1933.719970703125,MELI
2025-12-17,1916.280029296875,MELI
2025-12-18,1964.4599609375,MELI
2025-12-19,1997.6099853515625,MELI
2025-12-22,1993.6500244140625,MELI
2025-12-23,1995.0699462890625,MELI
2025-12-24,1998.2099609375,MELI
2025-12-26,2005.7099609375,MELI
2025-12-29,2014.969970703125,MELI
2025-12-30,2020.8800048828125,MELI
2025-12-31,2014.260009765625,MELI
2026-01-02,1973.699951171875,MELI
2026-01-05,2148.6201171875,MELI
2026-01-06,2187.0400390625,MELI
2026-01-07,2162.610107421875,MELI
2026-01-08,2179.800048828125,MELI
2026-01-09,2178.409912109375,MELI
2026-01-12,2149.89990234375,MELI
2026-01-13,2073.570068359375,MELI
2026-01-14,2101.949951171875,MELI
2026-01-15,2098.85009765625,MELI
2026-01-16,2075.010009765625,MELI
2026-01-20,2034.8199462890625,MELI
2026-01-21,2057.77001953125,MELI
2026-01-22,2153.75,MELI
2026-01-23,2137.2900390625,MELI
2026-01-26,2212.6201171875,MELI
2026-01-27,2295.0,MELI
2026-01-28,2268.60009765625,MELI
2026-01-29,2218.139892578125,MELI
2026-01-30,2147.7900390625,MELI
2026-02-02,2147.219970703125,MELI
2026-02-03,2099.89990234375,MELI
2026-02-04,2052.780029296875,MELI
2026-02-05,2034.760009765625,MELI
2026-02-06,1970.1500244140625,MELI
2026-02-09,2035.5899658203125,MELI
2026-02-10,2025.3199462890625,MELI
2026-02-11,2018.1800537109375,MELI
2026-02-12,2007.0,MELI
2026-02-13,1988.260009765625,MELI
2026-02-17,1975.510009765625,MELI
2026-02-18,2009.050048828125,MELI
2026-02-19,1996.550048828125,MELI
2026-02-20,1996.8699951171875,MELI
2026-02-23,1864.4599609375,MELI
2026-02-24,1922.56005859375,MELI
2026-02-25,1767.7099609375,MELI
2026-02-26,1740.8800048828125,MELI
2026-02-27,1757.5799560546875,MELI
2026-03-02,1777.0,MELI
2026-03-03,1714.010009765625,MELI
2026-03-04,1769.030029296875,MELI
2026-03-05,1780.3599853515625,MELI
2026-03-06,1787.8599853515625,MELI
2026-03-09,1769.52001953125,MELI
2026-03-10,1742.0899658203125,MELI
2026-03-11,1766.0999755859375,MELI
2026-03-12,1680.0,MELI
2026-03-13,1670.0,MELI
2026-03-16,1732.3299560546875,MELI
2026-03-17,1728.1400146484375,MELI
2026-03-18,1690.260009765625,MELI
2026-03-19,1666.9300537109375,MELI
2026-03-20,1635.760009765625,MELI
2026-03-23,1666.0799560546875,MELI
2026-03-24,1612.02001953125,MELI
2026-03-25,1639.469970703125,MELI
2026-03-26,1630.989990234375,MELI
2026-03-27,1599.52001953125,MELI
2026-03-30,1619.199951171875,MELI
